,pais,Participación,conteo
,Garzas,0.02%,1
,Gato,0.02%,1
,Gloria Inexcersis Deo,0.90%,46
,Grillete,0.39%,20
,Guante,0.21%,11
,Guirnalda,0.06%,3
,Guitarra,0.20%,10
,Habitación,0.14%,7
,Habito eclesiástico,3.12%,160
,Hacha,0.12%,6
,Halo de luz,2.36%,121
,Herida,0.35%,18
,Herramientas,0.70%,36
,Hierba,0.12%,6
,Hilo,0.23%,12
,Hisopo,0.04%,2
,Hoja de papel,0.18%,9
,Honor,0.02%,1
,Hostia,1.01%,52
,Huerto,0.06%,3
,Huevo,0.06%,3
,Humo,0.02%,1
,Huso,0.14%,7
,INRI,0.25%,13
,Iglesia,0.57%,29
,Iglesia miniatura,0.14%,7
,Ilustración,0.04%,2
,Imagen dentro de la Imagen,0.06%,3
,Incensario,0.18%,9
,Incienso,1.50%,77
,Indígena,0.31%,16
,Infierno,0.12%,6
,Insignia,0.02%,1
,Instrumentos musicales,1.52%,78
,Jardín,0.25%,13
,Jardín cerrado,0.51%,26
,Jarra,1.00%,51
,Jarrón,0.39%,20
,Jaula,0.08%,4
,Jerarquía eclesiástica,0.06%,3
,Jesús,0.84%,43
,Jilguero,0.78%,40
,Joyas,1.56%,80
,Juan Bautista,0.57%,29
,Juan Bautista niño,0.82%,42
,"Justicia
Libro",0.04%,2
,Laguna,0.02%,1
,Lanza,1.15%,59
,Lanzas,0.64%,33
,Lanzas cruzadas,0.02%,1
,Laurel,0.02%,1
,Lavatorio,0.35%,18
,Lazo,0.35%,18
,Laúd,0.08%,4
,Leche,0.08%,4
,Lectura,0.02%,1
,León,0.18%,9
,Libra,0.02%,1
,Libro,6.15%,315
,Lirio,4.18%,214
,Llaga,0.02%,1
,Llama de fuego,0.59%,30
,Llave,0.43%,22
,Lobo,0.20%,10
,Los vicios,0.02%,1
,Luna,0.62%,32
,Lupa,0.02%,1
,Luz,0.47%,24
,Lágrima,0.04%,2
,Lámpara,0.02%,1
,Látigo,0.10%,5
,Macana,0.04%,2
,Machete con bolsa,0.04%,2
,Mandolina,0.25%,13
,Mandorla,0.04%,2
,Mano,1.00%,51
,Manos,3.26%,167
,Manos en oración,1.80%,92
,Manos entrelazadas,0.04%,2
,Manto,17.25%,884
,Manto Café,1.15%,59
,Manto Verde,0.53%,27
,Manto azul,2.54%,130
,Manto blanco,4.90%,251
,Manto de piel de animal,0.29%,15
,Manto dorado,0.33%,17
,Manto estrellado,2.24%,115
,Manto florido,0.16%,8
,Manto negro,0.21%,11
,Manto rojo,2.97%,152
,Manto sobre cabeza,1.95%,100
,Manto translucido,0.37%,19
,Manuterio,0.02%,1
,Manzana,0.31%,16
,Manzanas,0.20%,10
,Mar,0.37%,19
,Mariposa,0.02%,1
,Martillo,0.21%,11
,Matrimonio,0.08%,4
,Mazo,0.02%,1
,Medalla,0.02%,1
,Media luna,17.07%,875
,Mendigo,0.06%,3
,Menorá,0.04%,2
,Mesa,1.21%,62
,Milagro,0.64%,33
,Mirra,1.68%,86
,Mitra,1.33%,68
,Mochila,0.31%,16
,Monasterio,0.06%,3
,Monstruo,0.14%,7
,Montaña,2.44%,125
,Monte,0.08%,4
,Moño negro,0.02%,1
,Muerte,0.80%,41
,Mundo,2.95%,151
,Mundo con cruz,0.14%,7
,Musulmán,0.10%,5
,Nacimiento,0.60%,31
,Negro,0.21%,11
,Nimbo de luz,8.80%,451
,Niño Jesús,5.80%,297
,Niño negro,0.06%,3
,Niños,1.15%,59
,Noche,0.02%,1
,Nopal,0.04%,2
,Nube,12.80%,656
,Nueve estrellas,0.02%,1
,Obelisco,0.02%,1
,Oceano,0.04%,2
,Ofrenda,0.49%,25
,Ojos,0.18%,9
,Olivo,0.51%,26
,Olla,0.02%,1
,Oración,0.55%,28
,Orando arrodillado,0.12%,6
,Orbe,6.83%,350
,Oro,1.48%,76
,Oveja,0.18%,9
,Ovi testimonium,0.02%,1
,Padre Eterno,0.92%,47
,Paisaje,2.48%,127
,Pala,0.04%,2
,Palma,3.18%,163
,Palma del martirio,3.26%,167
,Palma dorada,0.02%,1
,Palmera,1.39%,71
,Palo,0.02%,1
,Paloma,10.13%,519
,Pan,0.10%,5
,Panal de abejas,0.12%,6
,Partitura,0.21%,11
,Pasto,0.02%,1
,Pastor,0.16%,8
,Pavo real,0.04%,2
,Paño,0.10%,5
,Pañuelo,0.64%,33
,Pañuelo blanco,0.16%,8
,Peana,0.31%,16
,Pedestal,0.21%,11
,Pelícano,0.02%,1
,Penacho,0.06%,3
,Perfume,0.02%,1
,Perla,0.04%,2
,Perro,1.13%,58
,Personas miniatura,0.35%,18
,Pesebre,0.04%,2
,Pez,0.12%,6
,Piedad,0.37%,19
,Piedra,0.16%,8
,Piedra con números Romanos,0.02%,1
,Pila bautismal,0.10%,5
,Pilar,0.06%,3
,Pincel,0.10%,5
,Pinzas,0.23%,12
,Plantas,0.16%,8
,Plato roto,0.02%,1
,Platos,0.14%,7
,Platón,0.10%,5
,Plaza,0.02%,1
,Pluma,0.88%,45
,Pompas de jabón,0.02%,1
,Pozo,1.64%,84
,Procesión,0.08%,4
,Pueblo,0.04%,2
,Puente,0.16%,8
,Puerta,1.56%,80
,Punta de lanza,0.33%,17
,Puntilla,0.04%,2
,Pájaro,2.13%,109
,Querubín(es),12.04%,617
,Ramas,0.55%,28
,Ramas de olivo,0.59%,30
,Ramo de flores,0.33%,17
,Rayo,0.18%,9
,Rebaño,1.03%,53
,Recipiente,0.53%,27
,Rey,0.02%,1
,Reyes magos,0.14%,7
,Riachuelo,0.08%,4
,Ritual,0.02%,1
,Rodela,0.02%,1
,Rompimiento de gloria,2.07%,106
,Rosa blanca,0.96%,49
,Rosa roja,6.44%,330
,Rosario,8.47%,434
,Rosas,1.91%,98
,Rostros,0.02%,1
,Rueca,0.04%,2
,Rueda del martirio,0.04%,2
,Ráfaga,0.21%,11
,Río,0.31%,16
,Sacerdote,0.18%,9
,Sagrada familia,4.96%,254
,Sagrado corazón,0.47%,24
,San José,1.13%,58
,San Pedro,0.02%,1
,Sandalias,1.27%,65
,Sandalias con rostro,0.04%,2
,Sangre,0.74%,38
,Santos,1.66%,85
,Seis estrellas,0.04%,2
,Seis velas,0.14%,7
,Seno al descubierto,1.25%,64
,Serpiente,2.11%,108
,Serpientes,0.02%,1
,"Servicio
Trabajo",0.02%,1
,Sierra,0.04%,2
,Siete velas,0.02%,1
,Silla,0.20%,10
,,,
,Sisne,0.02%,1
,Soga,0.72%,37
,Sol,0.88%,45
,Soldados,0.20%,10
,Sombrero,4.80%,246
,Sombrero papal,0.45%,23
,Sudario,0.33%,17
,Sudario rojo,0.06%,3
,Sábana,0.02%,1
,Sábana blanca,0.66%,34
,Símbolos de la pasión,0.45%,23
,Tambor,0.06%,3
,Tela Amarilla,0.04%,2
,Tela Blanca,0.10%,5
,Tela Verde,0.10%,5
,Tela azul,0.04%,2
,Tela roja,1.42%,73
,Telas,1.33%,68
,Templete,0.06%,3
,Templo,0.43%,22
,Tiara,0.02%,1
,Tiara papal,0.35%,18
,Tintero,0.08%,4
,Toro,0.06%,3
,Torre,1.87%,96
,Torre miniatura,0.02%,1
,Trabajo,0.88%,45
,Tres esferas,0.02%,1
,Tres lanzas cruzadas,0.04%,2
,Tres rosas,0.08%,4
,Trigo,0.06%,3
,Trinidad,1.56%,80
,Triángulo Musical,0.04%,2
,Triángulo equilátero,0.64%,33
,Trompeta,0.60%,31
,Tronco,0.04%,2
,Trono,0.60%,31
,Truenos,0.02%,1
,Tunica Blanca,1.13%,58
,Turbante,1.44%,74
,Turbante con Corona,0.35%,18
,Turbante con castillo,0.02%,1
,Tórtola,0.23%,12
,Túnica,1.44%,74
,Túnica Amarilla,0.41%,21
,Túnica Café,0.96%,49
,Túnica Purpura,0.12%,6
,Túnica Verde,1.58%,81
,Túnica azul,1.31%,67
,Túnica negra,0.74%,38
,Túnica roja,3.45%,177
,Umbral,0.02%,1
,Unicornio,0.02%,1
,Uvas,0.21%,11
,Vaca,0.02%,1
,Vanitas,0.02%,1
,Vara,0.72%,37
,Vara florida,2.32%,119
,Vasija,0.33%,17
,Vasijas,0.10%,5
,Vasos,0.04%,2
,Vela,2.56%,131
,Velo,1.68%,86
,Ventana,0.25%,13
,Vestido,1.03%,53
,Vihuela,0.04%,2
,Violonchelo,0.06%,3
,Violín,0.55%,28
,"Virgen
Nobleza",0.23%,12
,Virgen María,10.44%,535
,Virgen con niño,3.88%,199
,carreta,0.04%,2
,ruinas,0.12%,6
,vestido de piel,0.16%,8
,Águila,0.16%,8
,Ángeles,13.60%,697
,Árbol,5.05%,259
,Árbol de la vida,0.39%,20
,Árbol del conocimiento,0.14%,7
,Órgano,0.20%,10
